,pmi,business_outlook_survey,business_confidence_index,consumer_confidence_index,industrial_production,mgdp,business_sales,new_residential_sales,inventories,unemployment_rate,employment,weekly_hours,hourly_earnings,consumer_credit,personal_income,federal_debt,exports,imports,ppi,cpi,monetary_base,bank_assets,bank_liabilities,mortgage_rate,federal_funds_rate,treasury_bill,treasury_bill_10,effective_exchange_rate,spot_euro_us,nyse_composite_index,vix,quarterly_gdp
1,4.733442362,17.98258465,0.88189111,0.765440254,1.711531589,0.671863565,2.621305654,6.24532014,1.077648305,0.335247342,0.236808271,0.8853148,0.402865316,1.280583113,1.286745972,3.910227789,3.572999707,3.414837729,4.739045575,1.009671978,10.09489779,3.233486439,3.07613241,0.716464062,0.203634053,0.389158539,0.663993852,6.010152775,6.631893449,6.805137918,63.21728962,0.227661808
2,6.453893332,14.50957873,1.258690218,0.747016589,1.641410404,0.582078744,2.273207707,7.522067986,1.179062198,0.373083336,0.252482936,0.963105077,0.40172711,1.229606549,0.928166938,3.922008103,4.204801101,4.325929758,4.050127205,1.00150356,8.000864266,2.701454767,2.637311437,0.66490202,0.474452078,0.60529311,0.66102424,6.004190902,7.307186568,8.427627516,71.99494598,0.193083805
3,5.297925746,15.441356,1.087684358,0.712899268,2.600200745,0.983495177,3.12297966,7.490126333,1.308703685,0.381574018,0.318725608,0.863722583,0.367376434,1.428366935,0.83822602,3.140372526,5.839288577,6.158419138,3.268021119,0.688513602,7.885914967,2.800910678,2.893328104,0.744655717,0.603735336,0.658051766,0.806662417,5.074434696,6.206610832,7.076031371,83.01702235,0.323949508
4,5.639437138,23.89517091,1.021775329,1.225570237,6.095228936,3.525590736,6.109263741,7.914633393,2.408502861,2.627615532,3.487873436,2.143799017,1.119590961,2.286630152,2.928652689,5.105643778,11.51958458,14.24737962,4.197694555,0.95680859,16.32766905,4.915681019,5.308297741,0.659746659,0.902872903,0.882149352,0.800352621,5.077725721,5.338168757,11.67320054,82.13495078,1.135311824
