date,business_confidence_index,industrial_production,business_sales,new_residential_sales,unemployment_rate,weekly_hours,cpi,bank_assets,federal_funds_rate,quarterly_gdp
2016-12-31,100.3477,102.9281,1322589,254,4.7,41.9,242.712,16029735.3,0.54,0.629298347
2017-01-31,100.6367,103.0366,1330801,258,4.7,41.9,243.717,16068927.7,0.65,
2017-02-28,100.8027,102.6479,1332293,261,4.6,41.9,244.028,16150746.3,0.66,
2017-03-31,100.7511,103.343,1329242,265,4.4,41.8,243.721,16216291.5,0.79,0.565668983
2017-04-30,100.5941,104.2721,1332488,269,4.4,41.9,244.058,16239348.7,0.9,
2017-05-31,100.5913,104.4129,1327861,271,4.4,41.9,243.926,16243885.2,0.91,
2017-06-30,100.7693,104.5849,1334112,275,4.3,42,244.179,16238451.5,1.04,0.42694400299999996
2017-07-31,100.9471,104.5427,1335238,276,4.3,42,244.328,16348183.8,1.15,
2017-08-31,101.2066,104.0475,1347162,281,4.4,42,245.304,16462260.3,1.16,
2017-09-30,101.3796,104.0502,1365181,282,4.2,41.9,246.445,16524019.9,1.15,0.728833616
2017-10-31,101.3471,105.6287,1377233,287,4.1,42,246.57,16588315.3,1.15,
2017-11-30,101.3146,106.193,1396552,288,4.2,42,247.333,16669581.3,1.16,
2017-12-31,101.3738,106.536,1405112,293,4.1,41.8,247.847,16754444.6,1.3,0.9556773270000001
2018-01-31,101.424,106.2655,1399302,292,4.1,41.8,248.816,16732678.2,1.41,
2018-02-28,101.4481,106.6419,1406917,296,4.1,42.2,249.475,16706898,1.42,
2018-03-31,101.3284,107.2519,1408277,297,4,42.2,249.413,16666122,1.51,0.93167915
2018-04-30,101.2024,108.2223,1414477,300,4,42.4,249.957,16675732.2,1.69,
2018-05-31,101.2476,107.3639,1436370,301,3.8,42,250.64,16745664.1,1.7,
2018-06-30,101.3594,108.1707,1436621,310,4,42.1,251.176,16767783,1.82,0.668628011
2018-07-31,101.4196,108.652,1439252,314,3.8,42.2,251.482,16773500.4,1.91,
2018-08-31,101.5197,109.5246,1444965,319,3.8,42.2,251.905,16735849.8,1.91,
2018-09-30,101.4313,109.6749,1448724,325,3.7,42.1,252.261,16762205,1.95,0.525195607
2018-10-31,101.2219,109.9165,1456666,333,3.8,42,252.777,16824991.1,2.19,
2018-11-30,101.0073,110.5067,1448031,335,3.7,42,252.662,16843167.9,2.2,
2018-12-31,100.6916,110.5516,1431160,346,3.9,42,252.653,16983866,2.27,0.328321429
2019-01-31,100.5398,110.1185,1436780,345,4,42,252.55,17002933.1,2.4,
2019-02-28,100.3743,109.5631,1442334,340,3.8,41.7,253.181,17034302.7,2.4,
2019-03-31,100.242,109.6811,1456358,338,3.8,41.7,254.095,17140820.2,2.41,0.72512256
2019-04-30,100.0197,108.9888,1452320,335,3.6,41.6,254.943,17184421.5,2.42,
2019-05-31,99.81559,109.2264,1455735,336,3.6,41.5,255.167,17228428.2,2.39,
2019-06-30,99.63159,109.2774,1456955,330,3.7,41.6,255.402,17339571,2.38,0.37071616700000004
2019-07-31,99.4113,109.0852,1458222,328,3.7,41.5,256.087,17367471,2.4,
2019-08-31,99.13428,109.8543,1458929,325,3.7,41.5,256.294,17489774.7,2.13,
2019-09-30,98.92455,109.4725,1454669,321,3.5,41.5,256.593,17506834.7,2.04,0.6369147470000001
2019-10-31,98.85771,109.027,1453569,321,3.6,41.4,257.229,17584042.2,1.83,
2019-11-30,98.87988,110.0388,1460383,322,3.5,41.4,257.824,17669651.8,1.55,
2019-12-31,98.98637,109.6527,1460174,322,3.5,41.4,258.444,17780656.2,1.55,0.58623185
